adjective,instrument,created_at,id,modifier,name,price
fuzzy,contraption,15-01-14 21:36,2512,carrying_case,fuzzy contraption carrying_case,150
,instrument,14-05-13 5:20,482,refill,instrument refill,35.2
industrial-strength,module,04-02-14 19:28,2446,,industrial-strength module,300
digital,tool,25-02-13 12:23,1312,carrying_case,digital tool carrying_case,16.5
miniature,device,05-08-13 17:20,3556,cleaner,miniature device cleaner,16.5
rechargable,contraption,12-09-13 6:27,131,cleaner,rechargable contraption cleaner,195
,instrument,07-10-13 9:38,1178,how-to-manual,instrument how-to-manual,0
prize-winning,mechanism,09-09-13 9:32,110,storage_unit,prize-winning mechanism storage_unit,41.25
,mechanism,25-10-13 22:53,47,,mechanism,15
organic,tool,10-05-13 10:19,1696,,organic tool,37.5
fuzzy,module,19-04-13 1:40,3196,refill,fuzzy module refill,80
fuzzy,device,20-05-13 18:29,1578,refill,fuzzy device refill,40
reflective,widget,14-06-13 3:32,0,charger,reflective widget charger,0.78
organic,tool,09-09-13 11:36,107,how-to-manual,organic tool how-to-manual,0
,apparatus,15-03-13 18:14,487,charger,apparatus charger,60
industrial-strength,gadget,17-03-13 19:01,1777,refill,industrial-strength gadget refill,213.6
aerodynamic,mechanism,07-07-13 12:28,1132,,aerodynamic mechanism,21
industrial-strength,apparatus,03-11-13 1:04,3328,carrying_case,industrial-strength apparatus carrying_case,540
,mechanism,31-03-13 8:15,3044,,mechanism,15
miniature,tool,13-03-13 5:43,246,,miniature tool,13.75
prize-winning,gadget,29-10-13 11:50,3480,wrapper,prize-winning gadget wrapper,39.16
,tool,02-01-14 5:47,1975,refill,tool refill,20
,mechanism,25-06-13 11:24,2722,,mechanism,15
reflective,mechanism,21-01-14 7:14,1602,how-to-manual,reflective mechanism how-to-manual,0
analog,mechanism,19-06-13 21:43,3141,,analog mechanism,13.5
extra-strength,mechanism,06-03-13 20:29,1411,charger,extra-strength mechanism charger,6
rechargable,dongle,27-05-13 23:38,3439,,rechargable dongle,39
organic,mechanism,05-10-13 16:02,2134,,organic mechanism,22.5
matte,widget,16-03-13 0:16,2389,how-to-manual,matte widget how-to-manual,0
analog,gadget,07-11-13 2:18,226,carrying_case,analog gadget carrying_case,48.06
fuzzy,dongle,27-01-14 9:19,2545,cleaner,fuzzy dongle cleaner,18
rechargable,dongle,16-03-13 0:54,1732,how-to-manual,rechargable dongle how-to-manual,0
,mechanism,16-01-14 2:42,3934,carrying_case,mechanism carrying_case,9
fuzzy,dongle,17-04-13 3:12,504,warmer,fuzzy dongle warmer,33
extra-strength,apparatus,20-11-13 20:29,23,charger,extra-strength apparatus charger,120
matte,contraption,02-09-13 20:34,1730,,matte contraption,312.5
prize-winning,apparatus,23-12-13 17:55,3290,cleaner,prize-winning apparatus cleaner,198
aerodynamic,widget,20-12-13 14:22,2498,,aerodynamic widget,4.2
extra-strength,apparatus,17-10-13 9:50,459,opener,extra-strength apparatus opener,300
matte,apparatus,07-05-13 17:28,2309,how-to-manual,matte apparatus how-to-manual,0
fuzzy,module,26-08-13 10:31,1074,refill,fuzzy module refill,80
aerodynamic,contraption,02-09-13 23:22,1391,charger,aerodynamic contraption charger,70
digital,mechanism,15-07-13 16:00,1403,,digital mechanism,16.5
digital,apparatus,05-07-13 23:33,3460,,digital apparatus,330
matte,mechanism,10-10-13 3:26,549,wrapper,matte mechanism wrapper,7.5
digital,widget,22-03-13 10:55,1271,wrapper,digital widget wrapper,1.32
,widget,15-12-13 16:19,2296,charger,widget charger,0.6
prize-winning,gadget,09-03-13 6:13,862,storage_unit,prize-winning gadget storage_unit,244.75
prize-winning,instrument,28-10-13 3:54,53,,prize-winning instrument,48.4
prize-winning,tool,25-04-13 21:31,1872,,prize-winning tool,27.5
miniature,apparatus,15-07-13 19:48,3134,cleaner,miniature apparatus cleaner,99
fuzzy,apparatus,23-02-13 13:06,2993,,fuzzy apparatus,300
extra-strength,device,26-02-13 20:46,1590,storage_unit,extra-strength device storage_unit,250
analog,apparatus,14-08-13 0:14,3057,,analog apparatus,270
extra-strength,instrument,17-12-13 9:39,1756,how-to-manual,extra-strength instrument how-to-manual,0
matte,instrument,18-11-13 9:55,3119,,matte instrument,55
prize-winning,tool,15-11-13 10:30,2393,,prize-winning tool,27.5
,widget,11-06-13 11:03,212,opener,widget opener,1.5
glossy,mechanism,03-03-13 18:19,735,carrying_case,glossy mechanism carrying_case,10.8
glossy,instrument,20-05-13 23:58,3544,cleaner,glossy instrument cleaner,31.68
glossy,mechanism,21-03-13 6:35,3990,,glossy mechanism,18
matte,gadget,30-01-14 17:15,917,charger,matte gadget charger,22.25
extra-strength,device,15-07-13 20:13,77,,extra-strength device,100
digital,device,02-01-14 4:08,2213,warmer,digital device warmer,60.5
,dongle,25-05-13 13:37,2493,,dongle,30
rechargable,contraption,16-09-13 14:58,3070,wrapper,rechargable contraption wrapper,130
,instrument,23-07-13 21:03,1569,,instrument,44
prize-winning,gadget,01-07-13 14:17,1690,charger,prize-winning gadget charger,19.58
fuzzy,module,24-06-13 7:31,3447,refill,fuzzy module refill,80
rechargable,gadget,22-12-13 19:32,33,,rechargable gadget,115.7
fuzzy,apparatus,27-09-13 22:12,1838,,fuzzy apparatus,300
fuzzy,gadget,01-06-13 16:37,2152,wrapper,fuzzy gadget wrapper,35.6
aerodynamic,contraption,23-05-13 17:08,204,cleaner,aerodynamic contraption cleaner,210
matte,mechanism,29-08-13 4:11,1039,,matte mechanism,18.75
digital,contraption,30-03-13 21:56,3577,,digital contraption,275
extra-strength,device,08-11-13 11:41,2567,,extra-strength device,100
matte,device,11-12-13 4:07,3427,charger,matte device charger,12.5
digital,tool,20-01-14 17:27,2622,charger,digital tool charger,5.5
rechargable,mechanism,21-01-14 13:08,2601,cleaner,rechargable mechanism cleaner,11.7
digital,tool,26-01-14 12:45,1007,,digital tool,27.5
industrial-strength,mechanism,17-01-14 3:01,2114,charger,industrial-strength mechanism charger,9
reflective,instrument,11-01-14 2:00,2627,,reflective instrument,57.2
digital,instrument,16-05-13 3:58,979,storage_unit,digital instrument storage_unit,121
prize-winning,gadget,19-03-13 16:32,2178,warmer,prize-winning gadget warmer,107.69
