invoice_id,line_item_id,user_id,item_id,item_name,item_category,price,created_at,paid_at
192320,83118,178481,3526,digital apparatus,apparatus,330,28-06-17 21:14,27-06-17 21:19
192320,207309,178481,1514,miniature apparatus cleaner,apparatus,99,28-06-17 21:14,27-06-17 21:19
192320,392027,178481,3712,miniature apparatus cleaner,apparatus,99,28-06-17 21:14,27-06-17 21:19
80902,243831,154133,3586,reflective instrument,instrument,57.2,09-10-16 6:57,07-10-16 10:08
80902,399806,154133,1061,extra-strength instrument charger,instrument,17.6,09-10-16 6:57,07-10-16 10:08
211144,19924,119514,550,miniature apparatus refill,apparatus,132,25-07-16 8:01,23-07-16 11:32
123735,154006,164581,982,miniature module carrying_case,module,33,24-11-16 7:35,26-11-16 20:52
123735,66700,164581,858,industrial-strength module,module,300,24-11-16 7:35,26-11-16 20:52
123735,321246,164581,3363,rechargable module cleaner,module,78,24-11-16 7:35,26-11-16 20:52
249245,292068,232806,2344,prize-winning tool,tool,27.5,07-02-18 5:23,08-02-18 19:07
249245,102116,232806,1596,reflective mechanism carrying_case,mechanism,11.7,07-02-18 5:23,08-02-18 19:07
249245,74700,232806,2423,extra-strength tool how-to-manual,tool,0,07-02-18 5:23,08-02-18 19:07
249245,151186,232806,2256,matte contraption storage_unit,contraption,781.25,07-02-18 5:23,08-02-18 19:07
174993,311128,90044,1637,extra-strength gadget,gadget,178,08-12-15 11:00,09-12-15 21:05
174993,273403,90044,3667,rechargable gadget,gadget,115.7,08-12-15 11:00,09-12-15 21:05
42209,25029,221881,1757,analog widget,widget,2.7,15-11-17 19:55,17-11-17 18:57
42209,339542,221881,467,organic widget,widget,4.5,15-11-17 19:55,17-11-17 18:57
42209,262600,221881,377,prize-winning widget opener,widget,1.65,15-11-17 19:55,17-11-17 18:57
42209,26653,221881,3033,widget opener,widget,1.5,15-11-17 19:55,17-11-17 18:57
281648,31359,73539,266,module,module,100,28-06-15 3:02,26-06-15 20:41
281648,119805,73539,3330,glossy module cleaner,module,72,28-06-15 3:02,26-06-15 20:41
281648,16132,73539,3254,reflective module carrying_case,module,78,28-06-15 3:02,26-06-15 20:41
281648,249012,73539,3904,reflective module opener,module,65,28-06-15 3:02,26-06-15 20:41
334281,68237,72243,2321,extra-strength instrument opener,instrument,44,06-08-15 6:12,04-08-15 9:48
290727,175160,108121,332,digital mechanism,mechanism,16.5,06-03-16 23:32,06-03-16 8:40
290727,89435,108121,1132,aerodynamic mechanism,mechanism,21,06-03-16 23:32,06-03-16 8:40
86000,238144,52574,1755,analog device carrying_case,device,27,06-05-15 14:49,07-05-15 12:10
86000,303501,52574,759,reflective device,device,65,06-05-15 14:49,07-05-15 12:10
86000,350805,52574,2596,device wrapper,device,20,06-05-15 14:49,07-05-15 12:10
136975,353335,49657,471,dongle,dongle,30,22-12-14 7:18,21-12-14 6:29
217137,140361,207594,3629,digital apparatus opener,apparatus,165,18-10-17 8:24,18-10-17 8:06
217137,236657,207594,3057,analog apparatus,apparatus,270,18-10-17 8:24,18-10-17 8:06
326526,2580,32499,3736,extra-strength apparatus,apparatus,600,26-07-14 2:29,24-07-14 22:03
326526,298638,32499,2417,industrial-strength apparatus opener,apparatus,450,26-07-14 2:29,24-07-14 22:03
59557,340219,185468,936,rechargable apparatus wrapper,apparatus,156,10-04-17 17:03,10-04-17 21:43
59557,227744,185468,3455,organic apparatus,apparatus,450,10-04-17 17:03,10-04-17 21:43
59557,182875,185468,2425,apparatus,apparatus,300,10-04-17 17:03,10-04-17 21:43
59557,240976,185468,771,organic apparatus charger,apparatus,90,10-04-17 17:03,10-04-17 21:43
62501,2846,96931,1533,contraption storage_unit,contraption,625,11-04-16 19:33,12-04-16 21:16
62501,171393,96931,2362,reflective contraption warmer,contraption,357.5,11-04-16 19:33,12-04-16 21:16
62501,246616,96931,1953,miniature contraption,contraption,137.5,11-04-16 19:33,12-04-16 21:16
26020,352982,116901,2535,reflective dongle cleaner,dongle,23.4,13-04-16 3:55,14-04-16 23:14
